Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-06-11,QT XXX0/QUIKTRIP 554ATLANTA GA,QT XXX0/QUIKTRIP 554ATLANTA GA,10.29,debit,Gas & Fuel,American Express Gold,,
2023-06-07,LYFT *RIDE TUE XAMXXX-XXX-9553 CA,LYFT *RIDE TUE XAMXXX-XXX-9553 CA,59.93,debit,Ride Share,American Express Gold,,
2023-06-07,MARTA TVM XX0018ATLANTA GA,MARTA TVM XX0018ATLANTA GA,2.5,debit,Public Transportation,American Express Gold,,
2023-06-07,JIMMY JOHNS ATLANTA GA,JIMMY JOHNS ATLANTA GA,16.88,debit,Restaurants,American Express Gold,,
2023-06-06,TST* PIEROGIES FACTOWHEAT RIDGE CO,TST* PIEROGIES FACTOWHEAT RIDGE CO,14.23,debit,Restaurants,American Express Gold,,
2023-06-06,UBER EATS help.uber.com CA,UBER EATS help.uber.com CA,40.81,debit,Restaurants,American Express Gold,,
2023-06-06,SAFEWAY #XXXX 1479 WHEAT RIDGE CO,SAFEWAY #XXXX 1479 WHEAT RIDGE CO,7.37,debit,Groceries,American Express Gold,,
2023-06-06,LYFT *RIDE SUN XPMXXX-XXX-9553 CA,LYFT *RIDE SUN XPMXXX-XXX-9553 CA,27.51,debit,Ride Share,American Express Gold,,
2023-06-05,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,8.51,debit,Shopping,American Express Gold,,
2023-06-05,AMAZON.COM AMZN.COM/BILL WA,AMAZON.COM AMZN.COM/BILL WA,7.39,debit,Shopping,American Express Gold,,
2023-06-05,TST* AMA MODERN MEXIDENVER CO,TST* AMA MODERN MEXIDENVER CO,18.78,debit,Restaurants,American Express Gold,,
2023-06-05,LYFT *RIDE SAT XPMXXX-XXX-9553 CA,LYFT *RIDE SAT XPMXXX-XXX-9553 CA,11.99,debit,Ride Share,American Express Gold,,
2023-06-05,TST* BAR AT AVANTI DDENVER CO,TST* BAR AT AVANTI DDENVER CO,26.88,debit,Alcohol & Bars,American Express Gold,,
2023-06-05,LYFT *RIDE SUN XPMXXX-XXX-9553 CA,LYFT *RIDE SUN XPMXXX-XXX-9553 CA,9.99,debit,Ride Share,American Express Gold,,
2023-06-05,TST* HAPPY CAMPER - DENVER CO,TST* HAPPY CAMPER - DENVER CO,481.28,debit,Restaurants,American Express Gold,,
2023-06-04,SAFEWAY #XXXX 1479 WHEAT RIDGE CO,SAFEWAY #XXXX 1479 WHEAT RIDGE CO,32.69,debit,Groceries,American Express Gold,,
2023-06-04,RTD EAST DIA 0000 DENVER CO,RTD EAST DIA 0000 DENVER CO,10.5,debit,Public Transportation,American Express Gold,,
2023-06-03,MR BISCUITS BAKERY Wheat Ridge CO,MR BISCUITS BAKERY Wheat Ridge CO,12.17,debit,Restaurants,American Express Gold,,
2023-06-03,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,21.26,debit,Ride Share,American Express Gold,,
2023-06-03,IMPROPER CITY XX6845DENVER CO,IMPROPER CITY XX6845DENVER CO,32.2,debit,Music,American Express Gold,,
2023-06-03,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,24.65,debit,Ride Share,American Express Gold,,
2023-06-03,PANDA CONCOURSE A DENVER CO,PANDA CONCOURSE A DENVER CO,11.34,debit,Restaurants,American Express Gold,,
2023-06-03,Uber Trip help.uber.com CA,Uber Trip help.uber.com CA,27.57,debit,Ride Share,American Express Gold,,
2023-06-03,COLORADO SAKE CO DENVER CO,COLORADO SAKE CO DENVER CO,240.0,debit,Restaurants,American Express Gold,,
2023-06-03,TST* WYNKOOP BREWINGDENVER CO,TST* WYNKOOP BREWINGDENVER CO,189.92,debit,Restaurants,American Express Gold,,
2023-06-03,SAFEWAY #XXXX 1479 WHEAT RIDGE CO,SAFEWAY #XXXX 1479 WHEAT RIDGE CO,62.01,debit,Groceries,American Express Gold,,
2023-06-02,TST* COSTA COFFEE - ATLANTA GA,TST* COSTA COFFEE - ATLANTA GA,7.91,debit,Coffee Shops,American Express Gold,,
2023-06-01,FRONTIER AIRLINES AIDENVER CO,FRONTIER AIRLINES AIDENVER CO,124.0,debit,Air Travel,American Express Gold,,
2023-06-01,WHOLEFDS ATL#XX650 0ATLANTA GA,WHOLEFDS ATL#XX650 0ATLANTA GA,44.42,debit,Groceries,American Express Gold,,
2023-06-01,AMAZON MARKETPLACE NAMZN.COM/BILL WA,AMAZON MARKETPLACE NAMZN.COM/BILL WA,2.67,debit,Shopping,American Express Gold,,
2023-05-30,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,100.35,debit,Parents,American Express Gold,,
2023-05-30,AT&T U-verse,AT&T UVERSE PAYMENT XXXXXX2020 TX,50.0,debit,Mobile Phone,American Express Gold,,
2023-05-30,"STRATA SCRATCH, LLC HOUSTON TX","STRATA SCRATCH, LLC HOUSTON TX",32.0,debit,Restaurants,American Express Gold,,
