Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
2023-08-31,Interest earned,Interest earned,59.41,credit,Interest Income,SoFi Savings,,
2023-08-31,Interest earned,Interest earned,0.0,credit,Bank Fee,SoFi Savings,,
2023-08-30,"BLOCK, INC.","BLOCK, INC.",3326.45,credit,Income,SoFi Savings,,
2023-08-29,SOFI SECURITIES,SOFI SECURITIES,1.0,debit,Transfer,SoFi Savings,,
2023-08-28,VENMO,VENMO,0.1,debit,Transfer,SoFi Savings,,
2023-08-28,VENMO,VENMO,0.1,credit,Transfer,SoFi Savings,,
2023-08-28,VENMO,VENMO,0.04,debit,Transfer,SoFi Savings,,
2023-08-28,Comcast,COMCAST 8220188,25.0,debit,Internet,SoFi Savings,,
2023-08-28,VENMO,VENMO,0.04,credit,Transfer,SoFi Savings,,
2023-08-28,AMEX EPAYMENT,AMEX EPAYMENT,350.04,debit,Credit Card Payment,SoFi Savings,,
2023-08-28,SoFi Rewards Redemption,SoFi Rewards Redemption,2.0,credit,Income,SoFi Savings,,
2023-08-27,SoFi Rewards Redemption,SoFi Rewards Redemption,10.8,credit,Income,SoFi Savings,,
2023-08-26,To Checking - 2849,To Checking - 2849,2.0,debit,Transfer,SoFi Savings,,
